"","MIMU - State/Region Pcode","MIMU - State/Region Name","MIMU - District Pcode","MIMU - District Name","MIMU - Township Pcode","MIMU - Township Name","Conventional households - Number","Conventional households - Male- headed","Conventional households - Female- headed","Conventional households - Female- headed households (%)","Population  in .... - Conventional households","Population  in .... - Institutions","Mean household size","Households consisting of: - 1 person","Households consisting of: - 2 persons","Households consisting of: - 3  persons","Households consisting of: - 4  persons","Households consisting of: - 5  persons","Households consisting of: - 6  persons","Households consisting of: - 7  persons","Households consisting of: - 8  persons","Households consisting of: - 9 and more","Type of housing unit - Total","Type of housing unit - Apartment/ Condominium","Type of housing unit - Bungalow/ Brick house","Type of housing unit - Semi-pacca house","Type of housing unit - Wooden house","Type of housing unit - Bamboo","Type of housing unit - Hut 2 - 3 years","Type of housing unit - Hut 1 year","Type of housing unit - Other","Type of ownership - Total","Type of ownership - Owner","Type of ownership - Renter","Type of ownership - Provided free (individually)","Type of ownership - Government Quarters","Type of ownership - Private Company Quarters","Type of ownership - Other","Type of toilet - Total","Type of toilet - Flush","Type of toilet - Water seal (Improved pit latrine)","Type of toilet - Safe sanitation (%)","Type of toilet - Pit (Traditional pit latrine)","Type of toilet - Bucket (Surface latrine)","Type of toilet - Other","Type of toilet - None","Roof - Total","Roof - Dhani/Theke/ In leaf","Roof - Bamboo","Roof - Wood","Roof - Corrugated sheet","Roof - Tile/Brick/ Concrete","Roof - Other","Walls - Total","Walls - Dhani/Theke/ In leaf","Walls - Bamboo","Walls - Earth","Walls - Wood","Walls - Corrugated sheet","Walls - Tile/Brick/ Concrete","Walls - Other","Floors - Total","Floors - Bamboo","Floors - Earth","Floors - Wood","Floors - Tile/Brick/ Concrete","Floors - Other","Source of lighting - Total","Source of lighting - Electricity","Source of lighting - Kerosene","Source of lighting - Candle","Source of lighting - Battery","Source of lighting - Generator (private)","Source of lighting - Water mill (private)","Source of lighting - Solar system/energy","Source of lighting - Other","Source of drinking water - Total","Source of drinking water - Tap water/ Piped","Source of drinking water - Tube well, borehole","Source of drinking water - Protected well/ Spring","Source of drinking water - Unprotected well/Spring","Source of drinking water - Pool/Pond/ Lake","Source of drinking water - River/stream/ canal","Source of drinking water - Waterfall/ Rain water","Source of drinking water - Bottled water/ Water purifier","Source of drinking water - Tanker/ Truck","Source of drinking water - Other","Source of non-drinking water - Total","Source of non-drinking water - Tap water/ Piped","Source of non-drinking water - Tube well, borehole","Source of non-drinking water - Protected well/ Spring","Source of non-drinking water - Unprotected well/Spring","Source of non-drinking water - Pool/Pond/ Lake","Source of non-drinking water - River/stream/ canal","Source of non-drinking water - Waterfall/ Rain water","Source of non-drinking water - Bottled water/ Water purifier","Source of non-drinking water - Tanker/ Truck","Source of non-drinking water - Other","Type of cooking fuel - Total","Type of cooking fuel - Electricity","Type of cooking fuel - LPG","Type of cooking fuel - Kerosene","Type of cooking fuel - BioGas","Type of cooking fuel - Firewood","Type of cooking fuel - Charcoal","Type of cooking fuel - Coal","Type of cooking fuel - Straw/Grass","Type of cooking fuel - Other","Availability of communication and related amenities - Conventional households","Availability of communication and related amenities - Radio","Availability of communication and related amenities - Television","Availability of communication and related amenities - Land line phone","Availability of communication and related amenities - Mobile phone","Availability of communication and related amenities - Computer","Availability of communication and related amenities - Internet at home","Availability of of transportation items - Conventional households","Availability of of transportation items - Car/Truck/ Van","Availability of of transportation items - Motorcycle/ Moped","Availability of of transportation items - Bicycle","Availability of of transportation items - 4-Wheel tractor","Availability of of transportation items - Canoe/Boat","Availability of of transportation items - Motor boat","Availability of of transportation items - Cart (bullock)"
"70","MMR005","Sagaing","MMR005D007","Mawlaik","MMR005032","Paungbyin",20246,15528,4718,23.3033685666304,110354,2340,5.45065691988541,505,1338,2428,3302,3540,3249,2274,1683,1927,20246,154,367,918,15785,2711,143,148,20,20246,19479,303,126,269,55,14,20246,129,15372,76.5632717573842,4068,139,68,470,20246,7865,96,19,12200,9,57,20246,110,7893,21,10834,27,1300,61,20246,790,70,18129,1162,95,20246,1757,381,4072,7002,3828,43,2323,840,20246,176,13096,3822,403,55,2310,162,1,0,221,20246,179,12995,3830,392,53,2432,140,1,0,224,20246,59,0,17,8,19259,878,14,1,10,20246,9267,6099,398,371,164,53,20246,136,8546,5049,1181,2944,852,12764
"71","MMR005","Sagaing","MMR005D008","Hkamti","MMR005033","Hkamti",7361,5646,1715,23.2984648824888,37049,10609,5.03314767015351,340,746,1117,1272,1203,934,650,526,573,7361,187,121,330,3330,2793,197,250,153,7361,6496,241,133,407,27,57,7361,205,5046,71.3354163836435,956,156,170,828,7361,3327,28,7,2629,1,1369,7361,100,4415,7,1960,12,537,330,7361,2105,366,4270,538,82,7361,1603,22,2810,400,979,72,1202,273,7361,702,365,1354,911,299,2827,577,313,0,13,7361,1181,251,1194,916,308,2922,569,5,0,15,7361,23,2,2,2,6488,803,22,1,18,7361,2282,3330,166,1418,172,71,7361,88,2450,798,44,784,1177,637
"72","MMR005","Sagaing","MMR005D008","Hkamti","MMR005034","Homalin",35743,26614,9129,25.5406653050947,198477,59729,5.5528914752539,987,2568,4275,5420,5896,5389,4125,3270,3813,35743,226,448,893,26364,6647,689,345,131,35743,33563,1109,316,566,138,51,35743,434,26495,75.3406261365862,6830,301,355,1328,35743,7973,192,58,26422,58,1040,35743,266,16797,26,16637,59,1327,631,35743,1767,211,32247,1301,217,35743,3671,266,18029,2670,6443,70,4025,569,35743,908,18249,5392,1363,370,8077,775,103,2,504,35743,1054,17899,4873,1387,315,8980,725,1,1,508,35743,158,4,19,16,32232,3242,47,1,24,35743,12251,19432,1289,4005,546,331,35743,534,19382,5671,1702,6290,2452,15117
"73","MMR005","Sagaing","MMR005D008","Hkamti","MMR005035","Lay Shi",1966,1590,376,19.1251271617497,9742,749,4.95523906408952,115,226,240,328,306,267,193,157,134,1966,33,0,7,969,917,39,0,1,1966,1877,25,9,48,6,1,1966,4,1166,59.5116988809766,543,58,31,164,1966,1300,2,1,511,0,152,1966,5,1351,2,566,3,38,1,1966,427,608,770,51,110,1966,316,20,887,134,25,1,387,196,1966,508,133,51,149,542,410,148,0,0,25,1966,502,87,52,149,544,459,148,0,0,25,1966,2,0,0,0,1944,17,0,0,3,1966,607,257,11,90,14,2,1966,10,360,25,5,48,33,209
"74","MMR005","Sagaing","MMR005D008","Hkamti","MMR005036","Lahe",8932,7830,1102,12.3376623376623,53424,933,5.98119122257053,293,597,824,1099,1208,1266,1164,1290,1191,8932,63,7,23,1756,6966,94,9,14,8932,8632,100,60,102,11,27,8932,109,2034,23.9923869234214,1965,1710,428,2686,8932,7604,14,3,1136,0,175,8932,19,7166,3,1644,4,80,16,8932,4194,3717,920,87,14,8932,346,67,1799,521,225,505,2210,3259,8932,3214,1,3,441,1739,113,3412,0,0,9,8932,3212,3,3,454,1725,116,3409,0,0,10,8932,22,0,2,2,8848,9,1,0,48,8932,1215,501,38,787,29,4,8932,24,814,25,7,1,13,1096
"75","MMR005","Sagaing","MMR005D008","Hkamti","MMR005037","Nanyun",7840,6856,984,12.5510204081633,49820,2160,6.35459183673469,149,432,719,828,1020,1117,1073,1036,1466,7840,57,3,10,329,7383,56,2,0,7840,7665,29,12,101,4,29,7840,25,1721,22.2704081632653,3481,1321,258,1034,7840,7409,95,4,274,0,58,7840,13,7591,4,167,3,61,1,7840,7414,99,248,68,11,7840,328,111,3309,305,53,211,2262,1261,7840,720,6,125,1006,356,1146,4475,0,0,6,7840,710,8,122,1108,357,1211,4318,0,0,6,7840,10,0,20,3,7791,8,1,0,7,7840,1001,342,44,170,29,6,7840,13,366,21,17,11,57,580
"76","MMR005","Sagaing","MMR005D009","Yinmabin","MMR005016","Yinmabin",29532,23154,6378,21.5969118244616,139808,1672,4.73411892184749,916,2493,5043,6346,5565,3977,2398,1615,1179,29532,30,836,2181,10990,14293,1124,48,30,29532,28800,190,213,309,10,10,29532,104,21037,71.5867533522958,377,30,180,7804,29532,9841,2511,24,16423,35,698,29532,816,21617,24,4261,29,2601,184,29532,2967,13336,10666,2442,121,29532,4131,35,1241,13304,4508,43,3635,2635,29532,1383,19466,5828,272,316,1641,336,21,0,269,29532,1329,19100,6440,295,696,1167,211,1,1,292,29532,1998,1,6,11,26900,506,15,1,94,29532,18628,8793,1060,4346,283,572,29532,333,16071,14455,496,332,118,13573
"77","MMR005","Sagaing","MMR005D009","Yinmabin","MMR005018","Salingyi",26467,19445,7022,26.5311520006045,116837,4971,4.4144406241735,1246,3149,5031,5614,4516,3078,1867,1095,871,26467,31,523,1186,8626,15068,890,82,61,26467,24778,447,386,230,602,24,26467,473,18606,72.0859938791703,216,21,166,6985,26467,5208,4642,38,13416,77,3086,26467,409,19192,38,4899,89,1525,315,26467,3439,12584,7860,2355,229,26467,12009,64,1041,8419,1200,20,1752,1962,26467,4021,11481,6579,459,266,2477,7,988,2,187,26467,4402,11719,6701,547,929,1989,4,4,1,171,26467,4195,3,16,14,21609,532,18,0,80,26467,14374,11739,552,5762,482,1004,26467,406,15796,17794,327,632,295,7809
"78","MMR005","Sagaing","MMR005D009","Yinmabin","MMR005019","Pale",32362,24142,8220,25.4001606822817,140339,3667,4.33653667882084,1207,3779,6680,7404,5646,3624,2027,1128,867,32362,3,404,1102,13057,17304,389,54,49,32362,31642,213,292,180,10,25,32362,79,20680,64.1462208763364,719,83,153,10648,32362,12486,3034,14,15124,17,1687,32362,450,24347,35,5904,29,1425,172,32362,9017,9071,12903,1155,216,32362,6194,32,3429,12668,2574,16,4133,3316,32362,2621,14983,8450,2121,417,2408,774,7,8,573,32362,2453,15114,8158,1850,780,2687,734,0,8,578,32362,1975,2,8,7,29220,615,37,295,203,32362,18218,9412,1166,3731,229,682,32362,303,14436,11315,245,82,23,17870
"79","MMR005","Sagaing","MMR005D009","Yinmabin","MMR005017","Kani",29223,21790,7433,25.4354446839818,131237,3304,4.49088047086199,1133,2996,5376,6465,5345,3776,2086,1243,803,29223,11,1746,4784,13381,7610,1378,194,119,29223,28499,173,310,188,24,29,29223,255,21748,75.2934332546282,916,143,100,6061,29223,8345,831,35,18569,44,1399,29223,888,15462,28,7010,48,5254,533,29223,1190,5992,19039,2839,163,29223,1722,83,3353,9990,7355,50,3760,2910,29223,498,14383,8123,461,1380,3927,54,9,4,384,29223,496,14198,9726,513,1435,2413,54,2,5,381,29223,76,2,8,10,27905,1160,45,0,17,29223,19056,7202,1337,2637,175,231,29223,268,14240,7995,171,1066,452,16472
"80","MMR006","Tanintharyi","MMR006D001","Dawei","MMR006001","Dawei",29133,17496,11637,39.9443929564411,135996,10968,4.66810833075893,1611,3234,5004,5614,4885,3268,2238,1603,1676,29133,1307,3277,3615,14329,5975,355,69,206,29133,23282,2459,1560,1462,263,107,29133,1127,23423,84.2686987265301,2206,232,104,2041,29133,13990,48,20,14380,253,442,29133,1088,10488,50,10647,157,6308,395,29133,4950,315,18292,5354,222,29133,1271,2842,3472,286,18910,320,1246,786,29133,1837,3127,8957,5805,58,2516,260,4353,900,1320,29133,2726,4659,10267,5928,166,2538,259,117,1157,1316,29133,654,582,39,381,13051,14017,213,0,196,29133,11440,19161,2147,14190,1849,3549,29133,1427,17905,13176,748,413,464,1860
"81","MMR006","Tanintharyi","MMR006D001","Dawei","MMR006002","Launglon",25735,17231,8504,33.0444919370507,114977,3340,4.46772877404313,1566,3122,4546,4876,4380,3083,1911,1223,1028,25735,79,3489,3443,13864,4151,450,184,75,25735,23456,898,1067,199,70,45,25735,313,16668,65.984068389353,2167,797,66,5724,25735,18829,38,13,6760,68,27,25735,2116,5821,46,12615,118,4894,125,25735,2186,244,19413,3704,188,25735,1993,3909,4984,157,14131,256,267,38,25735,1403,386,13695,6207,360,25,1391,279,446,1543,25735,1610,556,13639,6245,622,28,1437,10,83,1505,25735,122,54,30,158,21010,4238,72,0,51,25735,10600,13818,852,7700,476,1597,25735,456,13810,9590,1448,195,1440,1016
"82","MMR006","Tanintharyi","MMR006D001","Dawei","MMR006003","Thayetchaung",22874,10281,12593,55.0537728425286,103182,2480,4.51088572178019,1250,2606,3992,4560,3943,2842,1711,1087,883,22874,271,2045,2336,12554,4236,1082,295,55,22874,20926,390,1125,301,89,43,22874,254,17643,78.2416717670718,1540,416,131,2890,22874,17421,24,6,5165,102,156,22874,2375,6690,24,9956,53,3365,411,22874,2690,270,17194,2505,215,22874,552,6450,3301,214,11128,124,1072,33,22874,542,162,10125,9364,148,626,218,223,270,1196,22874,502,176,10362,9352,181,664,317,5,115,1200,22874,65,70,90,111,19381,3031,103,0,23,22874,8496,10464,827,4525,295,663,22874,322,11255,5715,893,386,822,1081
"83","MMR006","Tanintharyi","MMR006D001","Dawei","MMR006004","Yebyu",26350,19510,6840,25.9582542694497,115860,6773,4.39696394686907,1175,3103,5107,5684,4655,3060,1725,1003,838,26350,958,1613,2452,14810,5307,755,324,131,26350,22554,1120,977,1059,441,199,26350,251,17599,67.741935483871,2680,245,151,5424,26350,17435,20,9,7702,40,1144,26350,2565,7360,29,11831,84,3884,597,26350,4236,206,18483,3208,217,26350,841,5597,7592,209,10012,125,1538,436,26350,768,235,9889,8164,236,1212,4412,599,10,825,26350,1100,235,9708,8148,166,1408,4709,13,24,839,26350,78,32,49,66,19116,6798,166,0,45,26350,10170,11426,849,4526,512,417,26350,402,13185,5160,628,238,936,1975
"84","MMR006","Tanintharyi","MMR006D002","Myeik","MMR006005","Myeik",54349,43414,10935,20.1199654087472,273637,10852,5.03481204805976,1761,4740,8235,10043,9544,7468,5127,3564,3867,54349,2100,5169,4054,25261,16158,1077,287,243,54349,35333,11707,3847,2367,930,165,54349,562,44405,82.737492870154,2332,3176,264,3610,54349,39251,49,20,14298,666,65,54349,2469,22265,74,19539,155,9699,148,54349,2967,724,41019,9386,253,54349,5721,6406,10524,204,29918,666,786,124,54349,11228,5842,12737,5062,114,558,885,16362,1262,299,54349,21432,7931,15576,5383,201,774,884,83,1788,297,54349,783,515,96,768,16602,35043,295,1,246,54349,19723,31076,2349,21639,2288,6343,54349,1346,23374,6837,704,1222,2224,1439
"85","MMR006","Tanintharyi","MMR006D002","Myeik","MMR006006","Kyunsu",32988,27672,5316,16.1149508912332,168531,3222,5.10885776646053,855,2702,4872,5836,5862,4905,3347,2353,2256,32988,473,252,884,16551,11117,2796,341,574,32988,24707,3034,3204,585,1324,134,32988,114,9288,28.501273190251,2218,10322,856,10190,32988,30376,27,8,2072,378,127,32988,5612,14673,24,11111,28,1099,441,32988,2501,222,28528,1428,309,32988,3710,8640,10165,301,9435,143,235,359,32988,6171,2533,9996,8594,428,813,3589,714,10,140,32988,6547,2061,10114,8904,762,858,3505,98,9,130,32988,119,11,190,59,16012,16405,136,0,56,32988,11947,11552,1215,3872,275,472,32988,56,4116,2077,158,2518,8188,743
"86","MMR006","Tanintharyi","MMR006D002","Myeik","MMR006007","Palaw",25653,19741,5912,23.0460375004873,127925,2067,4.98674618952949,840,2187,3725,4833,4609,3709,2499,1748,1503,25653,383,2918,1473,10047,9868,672,154,138,25653,22607,1321,938,479,236,72,25653,376,13965,55.9037929287023,4301,2036,414,4561,25653,22926,15,6,2246,145,315,25653,4597,9365,40,7049,37,4366,199,25653,3729,492,17666,3585,181,25653,4866,6764,5268,107,7985,83,530,50,25653,4646,1668,10161,5383,930,1109,552,226,323,655,25653,4925,1546,10275,5363,880,1371,506,5,69,713,25653,122,26,181,184,17390,7381,320,0,49,25653,6886,11218,1202,5807,371,722,25653,198,10061,4713,775,660,1987,1919
"87","MMR006","Tanintharyi","MMR006D002","Myeik","MMR006008","Tanintharyi",19929,11956,7973,40.0070249385318,102805,4048,5.15856289828893,507,1487,2825,3680,3533,3017,2001,1486,1393,19929,328,399,1114,8655,7925,1106,322,80,19929,17425,917,740,492,319,36,19929,81,13656,68.9297004365498,3206,323,236,2427,19929,14163,23,3,3444,1085,1211,19929,213,12418,19,5545,23,1404,307,19929,4541,321,13251,1335,481,19929,1214,7062,5491,105,5087,147,718,105,19929,445,783,6294,6732,84,4048,660,705,74,104,19929,650,708,5919,6617,230,5143,509,5,47,101,19929,35,21,147,191,12854,6596,55,0,30,19929,5820,6473,616,2942,236,443,19929,127,7475,2269,162,1257,1343,1999
"88","MMR006","Tanintharyi","MMR006D003","Kawthoung","MMR006009","Kawthoung",30346,20967,9379,30.9068740525934,133526,6494,4.40011863178014,1670,4051,5880,6056,4817,3338,1975,1315,1244,30346,3705,5706,4005,11900,3772,605,177,476,30346,17176,7342,1269,1451,3004,104,30346,400,22341,74.9390364463191,2173,1494,319,3619,30346,6398,26,25,18581,4795,521,30346,1152,5685,35,10167,363,12250,694,30346,1974,436,13992,13570,374,30346,1779,829,6729,422,19613,292,437,245,30346,2919,853,12493,1920,74,1733,1582,7118,1359,295,30346,5734,1175,13721,1980,190,1845,1695,51,3667,288,30346,1040,1633,25,849,5906,20245,422,0,226,30346,6463,18215,1438,16523,1365,1066,30346,446,13502,3678,155,990,2059,493
"89","MMR006","Tanintharyi","MMR006D003","Kawthoung","MMR006010","Bokpyin",15742,12991,2751,17.4755431330199,75844,5874,4.81793927074069,378,1647,2838,3063,2589,2090,1305,978,854,15742,1329,228,426,8073,4027,1068,326,265,15742,10484,1565,687,1042,1839,125,15742,98,6079,39.2389785287765,983,4692,270,3620,15742,10665,6,5,3872,500,694,15742,1240,6090,12,6128,50,1860,362,15742,2238,109,11354,1927,114,15742,807,1775,4551,190,7605,84,442,288,15742,1061,3041,4692,2471,42,1933,1646,685,66,105,15742,1275,2819,4811,2537,68,2204,1822,50,63,93,15742,96,11,22,82,6132,9280,79,1,39,15742,3908,5692,627,2728,206,390,15742,81,3641,1668,38,1131,3050,493
"90","MMR111","Bago","MMR007D001","Bago","MMR007001","Bago",107132,81404,25728,24,467615,23819,4.4,4634,13829,21403,22786,17930,11851,7036,4346,3317,107132,3869,8863,9892,56854,24407,1731,1072,444,107132,84915,9734,5505,4858,1489,631,107132,1388,87904,83.3,4041,4336,1196,8267,107132,28567,285,149,76430,595,1106,107132,7379,49462,59,28833,268,19900,1231,107132,20157,615,69577,15809,974,107132,56712,2700,15746,26494,3180,29,1729,542,107132,5327,50399,10394,7772,18673,2088,233,10776,312,1158,107132,6951,67061,8804,7788,11483,3091,122,74,275,1483,107132,31077,445,66,438,57465,16201,489,14,937,107132,31032,59797,5382,51250,3432,9363,107132,2928,40126,49570,952,1978,536,11571
"91","MMR111","Bago","MMR007D001","Bago","MMR007002","Thanatpin",32527,25846,6681,20.5,143037,2250,4.4,1336,3741,6341,7106,5762,3940,2143,1246,912,32527,53,682,1249,14525,14909,568,471,70,32527,31119,440,743,151,24,50,32527,146,9599,30,804,15063,862,6053,32527,13017,78,23,17815,53,1541,32527,5248,16312,25,8738,29,1495,680,32527,14224,88,17162,843,210,32527,4438,8678,4262,8807,4458,54,1693,137,32527,2,183,887,299,30968,16,40,121,10,1,32527,21,1684,259,349,29103,1103,2,2,NA,4,32527,1976,13,226,36,26813,972,32,128,2331,32527,12500,13422,1436,4989,196,806,32527,191,7772,11385,890,4672,2888,6959
"92","MMR111","Bago","MMR007D001","Bago","MMR007003","Kawa",46075,36852,9223,20,195158,2205,4.2,2119,5767,9425,10367,8235,5086,2691,1421,964,46075,51,668,1885,17586,24403,941,389,152,46075,44991,460,436,128,24,36,46075,360,24565,54.1,1307,12938,1025,5880,46075,19818,70,62,25998,58,69,46075,5014,28132,31,10736,31,1865,266,46075,15212,120,29651,780,312,46075,4405,14044,4187,16846,2719,36,3508,330,46075,45,1135,679,123,44018,17,4,52,NA,2,46075,51,1880,630,155,43322,28,1,1,1,6,46075,868,13,249,38,39539,761,33,294,4280,46075,19131,18756,2470,5475,254,536,46075,211,11799,16691,1843,3337,2905,11815
"93","MMR111","Bago","MMR007D001","Bago","MMR007004","Waw",37083,28664,8419,22.7,171165,4849,4.6,1411,3901,6661,7664,6730,4634,2810,1717,1555,37083,97,932,1507,22300,10925,769,438,115,37083,35060,739,1013,192,34,45,37083,108,21473,58.2,2435,6133,458,6476,37083,14536,70,21,20194,61,2201,37083,1725,18950,30,13769,40,1949,620,37083,9533,114,26009,1238,189,37083,5290,6970,7395,5447,9820,132,1792,237,37083,1,447,489,209,35017,258,156,505,NA,1,37083,188,22999,318,353,11389,1635,6,NA,NA,195,37083,1700,28,115,29,31831,1314,66,29,1971,37083,15383,16471,1676,7037,254,720,37083,296,9085,16563,1606,3945,1689,10597
"94","MMR111","Bago","MMR007D001","Bago","MMR007005","Nyaunglebin",44762,33239,11523,25.7,195607,3876,4.4,2067,5339,8759,9805,7745,5051,2923,1708,1365,44762,295,1713,2494,26826,12403,567,300,164,44762,42440,740,775,640,58,109,44762,295,36913,83.1,2537,1628,218,3171,44762,19374,79,23,24972,162,152,44762,937,29360,42,10509,44,3617,253,44762,9963,212,32138,2194,255,44762,12184,7350,6914,14202,1026,59,2911,116,44762,277,37837,1786,97,1273,826,18,2061,6,581,44762,311,40751,1701,99,315,968,6,27,NA,584,44762,3761,10,191,51,33027,4695,215,14,2798,44762,18248,16488,2169,12455,432,316,44762,388,14797,25025,1830,2322,738,8981
"95","MMR111","Bago","MMR007D001","Bago","MMR007006","Kyauktaga",51648,40373,11275,21.8,248302,2910,4.8,1847,5113,9014,10248,8862,6466,4220,2703,3175,51648,305,2061,3911,29885,13536,1015,876,59,51648,49730,769,543,443,132,31,51648,315,39400,76.9,5851,880,401,4801,51648,26746,216,35,24017,72,562,51648,689,36987,19,8778,49,4828,298,51648,10810,2675,35298,2538,327,51648,13372,7467,12602,9407,1157,12,6347,1284,51648,240,37423,7946,1938,194,1802,90,309,10,1696,51648,253,37544,7975,1951,196,1908,92,14,13,1702,51648,2758,6,113,22,38100,4509,188,1187,4765,51648,17147,17894,1869,10276,412,247,51648,419,17236,31353,1921,460,133,15744
"96","MMR111","Bago","MMR007D001","Bago","MMR007007","Daik-U",45753,33539,12214,26.7,198484,4046,4.3,1898,5259,9269,10458,8077,5109,2907,1612,1164,45753,299,2012,2585,27468,12236,591,432,130,45753,43341,682,803,740,135,52,45753,494,34614,76.7,5368,1992,55,3230,45753,20139,58,36,24935,206,379,45753,870,30721,13,10010,43,4008,88,45753,9956,255,32677,2679,186,45753,11762,4368,9772,13446,2239,195,3693,278,45753,154,29704,6762,1808,3797,962,111,2182,4,269,45753,175,34036,5990,1875,1313,2024,25,29,NA,286,45753,3074,26,70,26,38919,2800,71,52,715,45753,17095,18361,1784,10442,458,1666,45753,513,13058,22782,1110,2905,1237,11810
"97","MMR111","Bago","MMR007D001","Bago","MMR007008","Shwegyin",21782,16154,5628,25.8,104486,2976,4.8,682,1996,3782,4415,3894,2816,1896,1216,1085,21782,497,714,839,13135,5451,599,417,130,21782,20149,366,363,706,151,47,21782,138,15037,69.7,1690,834,445,3638,21782,10393,33,19,11087,37,213,21782,736,10660,12,8024,22,1768,560,21782,4559,57,15498,1535,133,21782,4978,2776,7105,2791,2249,29,1606,248,21782,508,8177,6355,3055,131,1930,687,456,3,480,21782,532,8628,5860,3084,140,2262,676,6,72,522,21782,2795,4,57,18,17732,995,76,NA,105,21782,8759,8852,1128,5097,252,717,21782,203,8198,5804,361,2014,657,4879
"98","MMR111","Bago","MMR007D002","Taungoo","MMR007009","Taungoo",57460,42563,14897,25.9,247505,14551,4.3,3082,7598,11920,12089,9124,5927,3503,2127,2090,57460,2733,5044,5768,27678,14038,1127,710,362,57460,47396,3114,1602,4425,617,306,57460,765,43939,77.8,5210,1226,280,6040,57460,19387,136,47,36919,860,111,57460,1325,32338,39,12283,107,11048,320,57460,10273,740,36603,9274,570,57460,29613,4004,13489,5984,568,16,2940,846,57460,1206,30323,11482,6207,95,1355,22,4996,21,1753,57460,2183,33628,11773,6345,180,1500,22,75,2,1752,57460,8464,96,100,113,30737,16934,515,2,499,57460,17163,33383,2548,25414,1948,4697,57460,1436,26762,29406,838,344,116,10495
"99","MMR111","Bago","MMR007D002","Taungoo","MMR007010","Yedashe",50527,38735,11792,23.3,207291,6302,4.1,2563,6909,11448,11430,8158,4882,2623,1429,1085,50527,1648,2213,2691,22033,19130,1726,786,300,50527,45224,1118,1334,2438,235,178,50527,629,32767,66.1,2509,1731,907,11984,50527,31874,62,40,18196,228,127,50527,418,36333,44,8674,53,4836,169,50527,13108,569,32102,4451,297,50527,15516,4133,17552,4860,3279,79,4129,979,50527,567,22212,13435,5922,200,4006,127,920,4,3134,50527,1089,22335,13518,6033,197,4078,129,15,8,3125,50527,5327,15,83,30,39979,4655,83,3,352,50527,16350,23670,1400,14665,556,2298,50527,690,17629,15957,465,320,100,13420
"100","MMR111","Bago","MMR007D002","Taungoo","MMR007011","Kyaukkyi",22883,15093,7790,34,111429,1900,4.9,961,2121,3562,4361,3990,3024,2066,1380,1418,22883,315,466,1018,14110,5439,919,388,228,22883,21736,299,389,399,14,46,22883,58,16521,72.5,373,712,381,4838,22883,15127,198,10,7511,10,27,22883,617,13254,18,6479,21,1212,1282,22883,2527,151,19201,735,269,22883,3005,5447,4651,5951,291,14,3204,320,22883,378,14070,3148,3008,4,997,601,40,NA,637,22883,405,14097,3085,2988,6,1051,600,2,1,648,22883,449,3,136,12,20027,2028,51,4,173,22883,7069,7204,1186,3344,185,647,22883,136,7734,11345,332,957,60,8508
"101","MMR111","Bago","MMR007D002","Taungoo","MMR007012","Phyu",54931,39999,14932,27.2,252662,4611,4.6,2316,6219,10112,11363,9268,6368,3949,2570,2766,54931,695,3201,5022,28914,13943,1663,749,744,54931,50466,1458,1079,1389,163,376,54931,595,45912,84.7,2418,839,712,4455,54931,26119,204,52,27860,287,409,54931,394,40166,52,7405,71,6645,198,54931,7163,2607,40790,3778,593,54931,15420,6249,9169,16055,3602,89,3449,898,54931,776,34386,10886,808,180,606,215,3729,40,3305,54931,887,35922,12131,833,188,740,219,97,159,3755,54931,5017,13,133,26,38441,7280,213,41,3767,54931,15862,23918,2288,14434,838,2806,54931,566,18530,31482,1224,840,230,18810
"102","MMR111","Bago","MMR007D002","Taungoo","MMR007013","Oktwin",36870,26119,10751,29.2,157272,2556,4.3,1766,4615,7770,7958,6235,4039,2267,1281,939,36870,562,1729,2805,19605,10773,779,334,283,36870,34202,489,814,991,278,96,36870,379,28240,77.6,1690,610,357,5594,36870,16502,180,29,19952,104,103,36870,324,26249,36,6525,44,3590,102,36870,7510,559,26421,2150,230,36870,7205,3151,14211,6741,1302,25,3235,1000,36870,196,20402,10254,1559,21,676,901,860,5,1996,36870,358,20661,10603,1613,22,783,819,15,4,1992,36870,1632,2,58,32,28662,5809,142,2,531,36870,12099,15520,736,8414,389,1592,36870,295,12871,15078,622,319,201,11928
"103","MMR111","Bago","MMR007D002","Taungoo","MMR007014","Htantabin",26781,19892,6889,25.7,115743,1533,4.3,1248,3195,5511,5904,4579,2899,1718,915,812,26781,122,947,1884,13500,9572,424,194,138,26781,25820,286,468,169,8,30,26781,74,22409,84,699,677,164,2758,26781,15583,22,17,11115,18,26,26781,506,19130,31,5072,21,1965,56,26781,3449,223,22010,926,173,26781,5663,4585,10179,2659,207,8,3198,282,26781,76,16646,6659,1355,12,403,10,91,NA,1529,26781,87,16703,6628,1358,13,444,9,3,NA,1536,26781,1336,6,99,21,22953,1974,71,1,320,26781,8593,10628,760,4226,155,880,26781,188,9502,13049,444,251,73,9955
