"","MIMU - State/Region Pcode","MIMU - State/Region Name","MIMU - District Pcode","MIMU - District Name","MIMU - Township Pcode","MIMU - Township Name","Conventional households - Number","Conventional households - Male- headed","Conventional households - Female- headed","Conventional households - Female- headed households (%)","Population  in .... - Conventional households","Population  in .... - Institutions","Mean household size","Households consisting of: - 1 person","Households consisting of: - 2 persons","Households consisting of: - 3  persons","Households consisting of: - 4  persons","Households consisting of: - 5  persons","Households consisting of: - 6  persons","Households consisting of: - 7  persons","Households consisting of: - 8  persons","Households consisting of: - 9 and more","Type of housing unit - Total","Type of housing unit - Apartment/ Condominium","Type of housing unit - Bungalow/ Brick house","Type of housing unit - Semi-pacca house","Type of housing unit - Wooden house","Type of housing unit - Bamboo","Type of housing unit - Hut 2 - 3 years","Type of housing unit - Hut 1 year","Type of housing unit - Other","Type of ownership - Total","Type of ownership - Owner","Type of ownership - Renter","Type of ownership - Provided free (individually)","Type of ownership - Government Quarters","Type of ownership - Private Company Quarters","Type of ownership - Other","Type of toilet - Total","Type of toilet - Flush","Type of toilet - Water seal (Improved pit latrine)","Type of toilet - Safe sanitation (%)","Type of toilet - Pit (Traditional pit latrine)","Type of toilet - Bucket (Surface latrine)","Type of toilet - Other","Type of toilet - None","Roof - Total","Roof - Dhani/Theke/ In leaf","Roof - Bamboo","Roof - Wood","Roof - Corrugated sheet","Roof - Tile/Brick/ Concrete","Roof - Other","Walls - Total","Walls - Dhani/Theke/ In leaf","Walls - Bamboo","Walls - Earth","Walls - Wood","Walls - Corrugated sheet","Walls - Tile/Brick/ Concrete","Walls - Other","Floors - Total","Floors - Bamboo","Floors - Earth","Floors - Wood","Floors - Tile/Brick/ Concrete","Floors - Other","Source of lighting - Total","Source of lighting - Electricity","Source of lighting - Kerosene","Source of lighting - Candle","Source of lighting - Battery","Source of lighting - Generator (private)","Source of lighting - Water mill (private)","Source of lighting - Solar system/energy","Source of lighting - Other","Source of drinking water - Total","Source of drinking water - Tap water/ Piped","Source of drinking water - Tube well, borehole","Source of drinking water - Protected well/ Spring","Source of drinking water - Unprotected well/Spring","Source of drinking water - Pool/Pond/ Lake","Source of drinking water - River/stream/ canal","Source of drinking water - Waterfall/ Rain water","Source of drinking water - Bottled water/ Water purifier","Source of drinking water - Tanker/ Truck","Source of drinking water - Other","Source of non-drinking water - Total","Source of non-drinking water - Tap water/ Piped","Source of non-drinking water - Tube well, borehole","Source of non-drinking water - Protected well/ Spring","Source of non-drinking water - Unprotected well/Spring","Source of non-drinking water - Pool/Pond/ Lake","Source of non-drinking water - River/stream/ canal","Source of non-drinking water - Waterfall/ Rain water","Source of non-drinking water - Bottled water/ Water purifier","Source of non-drinking water - Tanker/ Truck","Source of non-drinking water - Other","Type of cooking fuel - Total","Type of cooking fuel - Electricity","Type of cooking fuel - LPG","Type of cooking fuel - Kerosene","Type of cooking fuel - BioGas","Type of cooking fuel - Firewood","Type of cooking fuel - Charcoal","Type of cooking fuel - Coal","Type of cooking fuel - Straw/Grass","Type of cooking fuel - Other","Availability of communication and related amenities - Conventional households","Availability of communication and related amenities - Radio","Availability of communication and related amenities - Television","Availability of communication and related amenities - Land line phone","Availability of communication and related amenities - Mobile phone","Availability of communication and related amenities - Computer","Availability of communication and related amenities - Internet at home","Availability of of transportation items - Conventional households","Availability of of transportation items - Car/Truck/ Van","Availability of of transportation items - Motorcycle/ Moped","Availability of of transportation items - Bicycle","Availability of of transportation items - 4-Wheel tractor","Availability of of transportation items - Canoe/Boat","Availability of of transportation items - Motor boat","Availability of of transportation items - Cart (bullock)"
"48","MMR005","Sagaing","MMR005D002","Shwebo","MMR005006","Wetlet",46712,36592,10120,21.6646686076383,192658,3558,4.12437917451618,2090,6265,10504,10816,7718,4588,2497,1453,781,46712,43,2686,1895,14073,27013,698,166,138,46712,45310,326,749,207,81,39,46712,607,27750,60.7060284295256,2802,46,129,15378,46712,21353,241,36,22254,202,2626,46712,914,37265,34,3858,34,4290,317,46712,4143,32242,5072,5133,122,46712,5355,199,8053,16280,8843,65,4745,3172,46712,356,25674,4358,818,11160,3075,417,755,1,98,46712,472,31123,6293,1059,4696,2957,13,7,0,92,46712,2793,1,9,7,41701,1456,38,28,679,46712,24510,15997,1563,7460,344,1051,46712,436,22910,18106,809,418,406,21105
"49","MMR005","Sagaing","MMR005D002","Shwebo","MMR005007","Kanbalu",61326,49396,11930,19.4534129080651,290216,5345,4.73234843296481,1787,5285,10231,13738,11643,8127,4895,3020,2600,61326,437,2929,3573,24271,28721,1021,181,193,61326,58597,841,712,926,111,139,61326,787,39069,64.9903792844797,12812,262,770,7626,61326,22618,924,41,37397,123,223,61326,374,45084,51,9851,67,5723,176,61326,20413,1824,35332,3269,488,61326,11893,415,14241,17022,6035,51,7779,3890,61326,6216,22295,17491,2788,5625,3802,147,918,9,2035,61326,6449,22746,17349,2861,5774,3990,68,16,4,2069,61326,6922,2,35,14,51127,2654,95,55,422,61326,26656,19965,2416,8773,554,1000,61326,570,31029,13549,554,232,240,34935
"50","MMR005","Sagaing","MMR005D002","Shwebo","MMR005008","Kyunhla",20863,16848,4015,19.2445956957293,100853,3234,4.83406029813546,639,1738,3313,4750,3883,2628,1746,1164,1002,20863,146,980,812,11441,6316,621,366,181,20863,20242,262,97,211,42,9,20863,53,18966,91.161386186071,357,40,141,1306,20863,8009,21,11,12322,19,481,20863,166,12688,8,5883,6,1683,429,20863,839,235,18348,1234,207,20863,5750,69,5717,2044,5411,8,1699,165,20863,404,10093,6153,952,947,1483,26,381,0,424,20863,446,10723,6087,956,743,1505,24,11,0,368,20863,2482,3,10,4,17577,729,45,0,13,20863,8631,8580,1197,3376,186,503,20863,274,12897,4615,161,790,282,12127
"51","MMR005","Sagaing","MMR005D002","Shwebo","MMR005009","Ye-U",26373,17173,9200,34.8841618321768,113057,5233,4.28684639593524,1442,3390,5275,5747,4302,2744,1644,1044,785,26373,112,973,1329,14502,8630,687,72,68,26373,25326,368,387,234,41,17,26373,222,21218,81.2952640958556,1126,53,103,3651,26373,5768,169,49,19421,89,877,26373,203,16115,26,7483,37,2211,298,26373,1305,8017,14143,2741,167,26373,4325,86,4535,7246,5528,113,3087,1453,26373,66,18526,5464,262,5,881,4,349,4,812,26373,66,19457,5377,245,59,350,2,8,1,808,26373,1551,4,6,10,22769,936,52,2,1043,26373,11910,9919,1369,6047,311,728,26373,361,16672,13534,352,30,10,11209
"52","MMR005","Sagaing","MMR005D002","Shwebo","MMR005010","Tabayin",30345,22764,7581,24.9826989619377,137613,3202,4.53494809688581,1315,3253,5496,6555,5307,3614,2226,1400,1179,30345,37,1361,1675,8115,16646,2068,247,196,30345,29662,228,334,96,12,13,30345,313,18998,63.6381611468117,818,92,47,10077,30345,10649,549,31,16448,164,2504,30345,1023,19620,27,6049,31,2915,680,30345,487,16786,10222,2611,239,30345,2636,66,4467,12187,4790,140,2657,3402,30345,891,21470,4581,258,1657,1243,1,6,0,238,30345,949,21332,4506,163,1971,1184,1,1,0,238,30345,821,0,6,7,27022,1087,21,0,1381,30345,13852,7924,973,4322,228,732,30345,277,16731,12130,366,20,14,14275
"53","MMR005","Sagaing","MMR005D002","Shwebo","MMR005011","Taze",35937,24386,11551,32.1423602415338,162314,2796,4.51662631827921,1769,3908,6264,7715,6351,4338,2640,1584,1368,35937,23,1339,1145,28418,3914,912,133,53,35937,35193,331,234,157,15,7,35937,420,28925,81.6567882683585,2209,36,62,4285,35937,7566,83,41,27958,52,237,35937,316,18408,32,14848,38,2183,112,35937,896,3966,29129,1790,156,35937,4829,267,13250,6750,4650,371,4788,1032,35937,45,31687,3272,65,8,158,13,14,0,675,35937,46,31823,3062,69,69,190,15,1,0,662,35937,1055,6,78,6,33003,1529,53,4,203,35937,16857,10845,1821,5559,307,533,35937,469,22192,18033,370,114,33,19541
"54","MMR005","Sagaing","MMR005D003","Monywa","MMR005012","Monywa",75962,56106,19856,26.1393854822148,349622,22473,4.60259076906874,3249,8582,14241,16092,12616,8295,5398,3594,3895,75962,2619,7044,6413,20977,38038,532,168,171,75962,64432,4219,2618,3691,577,425,75962,1648,61312,82.8835470366762,2802,65,109,10026,75962,3143,18251,236,52045,1885,402,75962,1192,53331,79,5680,266,15174,240,75962,3464,33988,15935,21338,1237,75962,51104,70,3499,13239,3028,101,2209,2712,75962,9249,37135,15222,804,1489,766,625,8641,428,1603,75962,9997,41942,18338,892,1683,722,553,181,122,1532,75962,24683,94,11,71,37696,12675,371,1,360,75962,31197,46306,5218,38578,4169,5721,75962,4040,55632,47603,1621,956,393,10711
"55","MMR005","Sagaing","MMR005D003","Monywa","MMR005013","Budalin",28616,19849,8767,30.6367067374895,119492,4047,4.17570589879788,1798,3910,5676,6058,4806,3026,1705,977,660,28616,164,2580,3228,4935,15092,1797,303,517,28616,27891,227,325,105,7,61,28616,294,19236,68.2485322896282,374,56,31,8625,28616,7497,3005,23,14520,82,3489,28616,1086,17694,23,2921,55,5594,1243,28616,414,19080,4429,4506,187,28616,4907,38,2973,8724,4576,26,2525,4847,28616,1476,13637,9674,616,2186,929,5,62,0,31,28616,1905,11627,7320,319,6527,871,1,1,0,45,28616,903,0,4,7,26928,531,14,2,227,28616,15134,7778,928,4073,224,570,28616,239,14541,14540,238,116,151,14342
"56","MMR005","Sagaing","MMR005D003","Monywa","MMR005014","Ayadaw",35591,27787,7804,21.9268916299064,152641,3128,4.28875277457784,1500,4392,7404,8024,5971,3932,2214,1385,769,35591,298,2279,2427,4188,21793,3852,228,526,35591,34273,295,622,357,2,42,35591,253,23881,67.8092776263662,2036,177,201,9043,35591,16116,790,20,13757,159,4749,35591,1542,25371,20,978,50,4912,2718,35591,389,28913,332,5581,376,35591,3151,137,2798,14543,6654,84,4284,3940,35591,8251,18904,3542,376,3832,408,4,24,0,250,35591,8260,18937,2904,282,4660,290,1,0,0,257,35591,1067,0,9,8,33993,417,22,5,70,35591,17807,10042,721,4799,199,404,35591,336,21652,15352,462,58,60,14520
"57","MMR005","Sagaing","MMR005D003","Monywa","MMR005015","Chaung-U",23376,17851,5525,23.6353524982888,101825,4130,4.35596338124572,1091,2616,4799,5385,3783,2606,1464,921,711,23376,34,1796,1240,11811,8217,167,53,58,23376,22386,192,599,152,22,25,23376,525,17780,78.306810403833,223,30,36,4782,23376,4338,3882,20,14752,154,230,23376,426,17742,30,2364,39,2700,75,23376,4604,10734,5162,2704,172,23376,6731,69,975,9110,3668,38,1574,1211,23376,2277,13872,4340,131,1813,382,59,113,0,389,23376,2796,14725,3415,157,1501,357,21,4,0,400,23376,3646,1,6,9,19258,366,35,0,55,23376,12281,8561,1075,6805,280,617,23376,399,14577,16422,771,337,70,8465
